location: A1 | type: temp | time: 2024-04-10 14:00 | value: 22.3
location: A1 | type: humidity | time: 2024-05-20 14:00 | value: 45.1
location: A1 | type: CO2 | time: 2024-06-03 14:00 | value: 389.2
location: B2 | type: temp | time: 2024-06-10 14:05 | value: 24.0
location: B2 | type: humidity | time: 2024-06-20 14:05 | value: 42.5
location: C3 | type: CO2 | time: 2024-08-11 14:10 | value: 410.8
location: C3 | type: temp | time: 2024-08-23 14:10 | value: 21.6
location: C3 | type: humidity | time: 2024-08-24 14:10 | value: 48.2
location: A1 | type: CO2 | time: 2024-08-24 14:15 | value: 390.5
location: B2 | type: temp | time: 2024-09-20 14:15 | value: 23.4
location: C3 | type: humidity | time: 2025-01-20 14:15 | value: 46.3
location: A1 | type: temp | time: 2025-01-20 14:20 | value: 22.9
